,APM,Tcell,IFNgamma,PDL1
TCGA-OR-A5J1,1.340405334,-0.475373204,2.001830102,0.465561292
TCGA-OR-A5J2,1.291437176,-0.466954956,1.999802528,0.794780731
TCGA-OR-A5J3,1.485104061,-0.827290707,1.664520813,0.658488381
TCGA-OR-A5J5,1.29188875,-0.94379642,1.587883987,0.612614343
TCGA-OR-A5J6,1.570818671,-0.743688016,2.27874342,0.427583474
TCGA-OR-A5J7,1.514403946,-0.734816772,1.51821191,0.820575803
TCGA-OR-A5J8,1.651197472,-0.003043401,2.989858166,1.419620403
TCGA-OR-A5J9,1.254426082,-0.599328525,1.636778545,0.305329869
TCGA-OR-A5JA,1.555177687,-0.786131356,1.745093035,0.798332921
TCGA-OR-A5JB,1.732890607,-0.026443917,3.254310876,1.932782126
TCGA-OR-A5JC,1.461805995,-0.592121259,2.059561703,0.995893939
TCGA-OR-A5JD,1.36592032,-0.770132767,1.967777932,1.208707334
TCGA-OR-A5JE,1.594780537,-0.65354938,1.823867541,0.695420381
TCGA-OR-A5JF,1.434603223,-0.944724893,1.732976995,1.138065746
TCGA-OR-A5JG,1.283594449,-1.246017793,2.041414473,0.566684917
TCGA-OR-A5JI,1.442105057,-0.749995169,2.091040224,0.576939964
TCGA-OR-A5JJ,1.473526711,-0.705252106,2.117148842,0.77147724
TCGA-OR-A5JK,1.630635911,-0.222643264,2.87435549,1.548080941
TCGA-OR-A5JL,1.580458126,-0.419151666,1.790625018,0.996796147
TCGA-OR-A5JM,1.409560197,-0.473759216,1.346239452,0.790454063
TCGA-OR-A5JO,1.62822183,-0.087724731,2.583832617,1.354043098
TCGA-OR-A5JP,1.408171746,-0.653393613,1.859775572,0.560504415
TCGA-OR-A5JQ,1.428829049,-0.778914126,2.482191531,0.91202533
TCGA-OR-A5JR,1.447008153,-0.85464202,1.905640026,1.217299659
TCGA-OR-A5JS,1.524037894,-0.749065611,1.545192983,0.735558981
TCGA-OR-A5JT,1.499147269,-1.049693561,1.902124935,1.108703678
TCGA-OR-A5JV,1.570595485,-0.73292191,2.501796138,1.649468243
TCGA-OR-A5JW,1.524610094,-0.56037838,1.837800954,1.189770956
TCGA-OR-A5JX,1.407245941,-0.812486597,2.093218555,1.080135644
TCGA-OR-A5JY,1.664499357,-0.735691538,2.193377505,1.445132294
TCGA-OR-A5JZ,1.402656673,-0.562186661,1.863815062,0.988211025
TCGA-OR-A5K0,1.604059487,-0.520753015,1.688513124,0.833402129
TCGA-OR-A5K1,1.509216027,-0.970290433,1.972679029,0.832298101
TCGA-OR-A5K2,1.455196734,-0.754210043,2.108459233,0
TCGA-OR-A5K3,1.448603267,-1.269995846,2.259440772,1.054969076
TCGA-OR-A5K4,1.402115211,-0.921903556,1.613203717,1.325712652
TCGA-OR-A5K5,1.442702255,-0.947498744,1.722294919,0.37621185
TCGA-OR-A5K6,1.568917164,-0.691559139,2.012047699,0.5470359
TCGA-OR-A5K8,1.425046391,-0.968553979,1.672624623,0.987143188
TCGA-OR-A5K9,1.347113918,-0.909235168,1.340545837,0.4407517
TCGA-OR-A5KO,1.489447839,-0.78279792,1.383469889,0.28717446
TCGA-OR-A5KT,1.530004558,-0.804407662,2.098188834,0.764699064
TCGA-OR-A5KU,1.455608156,-0.972477979,1.687802643,0.73918455
TCGA-OR-A5KV,1.277508514,-0.754580674,1.604201287,0
TCGA-OR-A5KW,1.403809621,-1.078440164,1.904432977,0.568213462
TCGA-OR-A5KX,1.554956843,-0.877711564,1.672400399,0.169674434
TCGA-OR-A5KY,1.160354865,-0.634343117,1.965032871,0.506991819
TCGA-OR-A5KZ,1.519607115,-0.524787545,2.028088455,0.534559123
TCGA-OR-A5L3,1.461085479,-0.972820082,1.572912062,0
TCGA-OR-A5L4,1.467295353,-0.831323761,1.964373049,0.944620835
TCGA-OR-A5L5,1.506518928,-0.554646897,2.266382489,0.845569304
TCGA-OR-A5L6,1.533348299,-1.157487007,1.809567789,0.92822169
TCGA-OR-A5L8,0.89125096,-0.600099452,1.559247679,0.145817714
TCGA-OR-A5L9,1.46404309,-0.608876231,2.023652207,1.352286736
TCGA-OR-A5LA,1.473529597,-0.836061282,1.94094216,0.800984994
TCGA-OR-A5LB,1.390407962,-0.717160958,1.658986392,0.579497783
TCGA-OR-A5LC,1.465081254,-0.855908337,1.828646208,0.224895471
TCGA-OR-A5LD,1.04111608,-0.601967961,1.752656161,0.372341156
TCGA-OR-A5LE,1.352385535,-0.705756953,1.411387185,0.610148928
TCGA-OR-A5LG,1.40083904,-0.83735861,1.81295876,0.162862993
TCGA-OR-A5LH,1.619981333,-0.775571459,2.225550548,1.211713085
TCGA-OR-A5LJ,1.464551527,-0.565446861,2.445672483,1.04406915
TCGA-OR-A5LK,1.514931437,-0.399559814,2.504856249,1.163140495
TCGA-OR-A5LL,1.497485451,-0.277357522,1.391041852,1.092204657
TCGA-OR-A5LM,1.580985438,-0.910638721,1.917825866,1.049435116
TCGA-OR-A5LN,1.491281643,-0.34471969,2.384433625,0.899623548
TCGA-OR-A5LO,1.232227888,-0.391399073,1.485490151,0.830364086
TCGA-OR-A5LP,1.504633916,-0.758338842,2.281949828,1.280375743
TCGA-OR-A5LR,1.490994635,-0.824643618,1.793507729,1.182582973
TCGA-OR-A5LS,1.423755666,-0.872150946,1.817555194,0.890767422
TCGA-OR-A5LT,1.451130269,-0.986658547,2.027579322,1.275474904
TCGA-OU-A5PI,1.460664532,-0.648474027,1.518812305,0.645500868
TCGA-P6-A5OF,1.34781526,-0.586438667,1.898734556,0.655109609
TCGA-P6-A5OG,1.710605713,0.192708165,2.765892474,2.45603943
TCGA-PA-A5YG,1.481969565,-0.607349436,2.100178697,1.257820117
TCGA-PK-A5H8,1.408977339,-1.051053336,1.623747067,0.45845654
TCGA-PK-A5H9,1.568201893,-0.359244339,1.987846402,1.53339198
TCGA-PK-A5HA,1.52475474,-0.207135676,2.090612837,0.881681314
TCGA-PK-A5HB,1.439263844,-1.01714364,1.756538163,1.128069545
TCGA-2F-A9KO,1.732245392,0.456127362,3.509306678,1.932210368
TCGA-2F-A9KP,1.463354989,-0.533455693,1.493545924,0.806851254
TCGA-2F-A9KQ,1.479017449,-0.403246426,1.18656913,0.577675589
TCGA-2F-A9KR,1.694313693,-0.407750919,2.313556694,1.093306091
TCGA-2F-A9KT,1.468851823,-0.793555157,1.78025298,0.513377434
TCGA-2F-A9KW,1.567797944,-0.247385353,2.211974383,2.242640798
TCGA-4Z-AA7M,1.55876134,-0.899406646,1.755495034,1.054942289
TCGA-4Z-AA7N,1.664253036,1.49279584,2.944679158,1.928505948
TCGA-4Z-AA7O,1.697908474,-0.137903191,2.938506288,1.090085147
TCGA-4Z-AA7Q,1.744314257,-0.033674688,3.474275302,2.154490923
TCGA-4Z-AA7R,1.424927577,-0.52573793,1.885590217,0.658993414
TCGA-4Z-AA7S,1.161080275,-0.298291745,1.568810968,0.780583713
TCGA-4Z-AA7W,1.751581392,0.412328191,3.661303557,1.932212907
TCGA-4Z-AA7Y,1.515440772,-0.33304125,1.749216849,0.781626144
TCGA-4Z-AA80,1.643353594,-0.673813869,2.248441431,1.338918433
TCGA-4Z-AA81,1.753958766,-0.180290935,3.422298462,2.541712756
TCGA-4Z-AA82,1.712800029,-0.215530146,2.454377045,1.462339589
TCGA-4Z-AA83,1.679533766,-0.472294896,2.602725375,1.725464046
TCGA-4Z-AA84,1.503302626,-0.592969907,1.945641569,2.083961039
TCGA-4Z-AA86,1.738253898,0.555572969,3.430205326,2.22976117
TCGA-4Z-AA87,1.474356064,-0.668563901,2.692376621,2.170364408
TCGA-4Z-AA89,1.679621963,-0.488912527,2.380621457,1.053946165
TCGA-5N-A9KI,1.706418147,-0.649767245,2.237055742,1.274312597
TCGA-5N-A9KM,1.579370053,-0.367384641,2.383588965,0.534939449
TCGA-BL-A0C8,1.509144549,-0.580401363,1.881441425,0.962274605
TCGA-BL-A13I,1.664598689,0.329094168,2.70216207,1.388506165
TCGA-BL-A13J,1.553700661,-0.454049394,2.292047912,1.802551392
TCGA-BL-A3JM,1.647802827,-0.236956113,2.621951799,1.597707249
TCGA-BL-A5ZZ,1.604633599,-0.012882508,2.231264719,1.814046388
TCGA-BT-A0S7,1.505469484,-0.120407892,1.914020608,0.607326324
TCGA-BT-A0YX,1.671496621,-0.141374646,2.911047548,1.624316137
TCGA-BT-A20J,1.67362473,0.304832047,3.265513399,1.792742486
TCGA-BT-A20N,1.515860463,-0.605447039,2.192991491,1.008987458
TCGA-BT-A20O,1.741568791,1.35763676,3.830213073,2.176551367
TCGA-BT-A20P,1.566551279,-0.63227011,1.93199102,0.83124891
TCGA-BT-A20Q,1.701660818,0.128894492,3.015747386,1.465709936
TCGA-BT-A20R,1.588562286,-0.456509376,2.246045247,1.231421163
TCGA-BT-A20T,1.724449292,-0.105755314,3.002716336,1.140520613
TCGA-BT-A20U,1.670194669,-0.20125512,2.642530269,1.127224699
TCGA-BT-A20V,1.719493641,-0.51998072,2.707593992,2.620454629
TCGA-BT-A20W,1.612814473,0.057499365,2.544458825,1.159179042
TCGA-BT-A20X,1.591222288,-0.044550418,2.791521095,1.424780398
TCGA-BT-A2LA,1.519707008,-0.509546741,1.53437775,0.337539124
TCGA-BT-A2LB,1.629368237,-0.281291684,2.740545323,1.592085668
TCGA-BT-A2LD,1.708258311,-0.332886661,2.429225809,2.26115815
TCGA-BT-A3PH,1.300162266,-0.815085823,1.525623185,0.652642732
TCGA-BT-A3PJ,1.752023774,0.17666865,3.319638861,2.528165673
TCGA-BT-A3PK,1.70459114,0.09936456,3.006308552,2.103132953
TCGA-BT-A42C,1.497237897,-0.309053515,1.816996262,0.892155845
TCGA-BT-A42E,1.714662542,0.428237218,3.431046816,1.824442161
TCGA-BT-A42F,1.72023068,0.229171728,3.263278812,1.989132881
TCGA-C4-A0EZ,1.16925429,-0.233081577,2.003246703,0.322508728
TCGA-C4-A0F0,1.61172259,-0.360567247,2.690480277,1.861359941
TCGA-C4-A0F1,1.704560008,-0.125900552,2.84607044,1.667995249
TCGA-C4-A0F6,1.46304584,-0.403084369,2.231209025,0.9923414
TCGA-C4-A0F7,1.578545693,0.007821752,1.989917322,1.353160027
TCGA-CF-A1HR,1.651850702,-0.325051651,2.178665833,0.947036499
TCGA-CF-A1HS,1.676449424,-0.079582126,2.526971218,1.88260308
TCGA-CF-A27C,1.551026516,-0.044782725,1.843008465,1.247393821
TCGA-CF-A3MF,1.377602808,-0.417048608,1.423178113,1.22773249
TCGA-CF-A3MG,1.329840033,-0.5195366,1.31020936,0.758858926
TCGA-CF-A3MH,1.468767757,-0.364654926,1.709142549,0.343467677
TCGA-CF-A3MI,1.501388622,-0.504770692,1.960560653,0.581312362
TCGA-CF-A47S,1.629918866,-0.502117671,2.614706879,1.086822357
TCGA-CF-A47T,1.370673131,-0.782781178,1.260002515,0.205258512
TCGA-CF-A47V,1.662941923,-0.156683364,2.261344575,1.067476306
TCGA-CF-A47W,1.528926142,-0.83741663,1.549017049,0.633660311
TCGA-CF-A47X,1.539156805,-0.594994094,1.851435917,1.047364444
TCGA-CF-A47Y,1.479928519,-0.4284922,1.750562357,0.700366186
TCGA-CF-A5U8,1.484679664,-0.643679184,1.692040026,0.412561339
TCGA-CF-A5UA,1.507146462,-0.577237817,1.485913615,0.1752218
TCGA-CF-A7I0,1.449807893,-0.251305455,1.945681593,0.648769714
TCGA-CF-A8HX,1.354595232,-0.485384163,1.508420296,0.452016566
TCGA-CF-A8HY,1.47624143,-0.84413201,1.460285871,0.225748524
TCGA-CF-A9FF,1.546926171,-0.111178798,2.163775107,1.034231275
TCGA-CF-A9FH,1.705021408,-0.30747678,2.446560804,1.457053375
